run,fold,seed,model,f1_score,accuracy,recall,precision,tn,fp,fn,tp
1,1,42,hfe_ddl,0.96,0.961,0.953,0.968,18263,599,909,18619
1,2,42,hfe_ddl,0.96,0.96,0.958,0.961,18306,735,804,18545
1,3,42,hfe_ddl,0.96,0.96,0.954,0.965,18428,665,880,18417
1,4,42,hfe_ddl,0.961,0.961,0.962,0.961,18525,746,741,18378
1,5,42,hfe_ddl,0.962,0.962,0.96,0.964,18454,681,776,18479
1,6,42,hfe_ddl,0.96,0.96,0.958,0.963,18356,706,812,18516
1,7,42,hfe_ddl,0.962,0.962,0.954,0.969,18298,583,873,18636
1,8,42,hfe_ddl,0.96,0.96,0.957,0.964,18422,695,822,18451
1,9,42,hfe_ddl,0.96,0.96,0.955,0.966,18293,650,869,18578
1,10,42,hfe_ddl,0.961,0.962,0.956,0.966,18274,634,841,18636
